tanggungan,pendapatan,Usia,Status
6,10,39,Bad
1,9,49,Bad
2,4.8,35,Bad
0,4.9,52,Bad
1,4.7,34,Bad
3,2.4,44,Bad
3,4.6,37,Bad
2,4.9,56,Bad
4,8,35,Bad
1,8.3,49,Bad
3,8,49,Bad
1,4.2,36,Bad
2,3.1,55,Bad
2,6.8,40,Bad
2,7.4,34,Bad
1,7,34,Bad
1,7.8,48,Bad
1,8.2,49,Bad
0,4.5,43,Bad
3,8.1,39,Bad
2,6.6,48,Bad
4,19.8,41,Bad
1,7.8,34,Bad
2,4.6,46,Bad
0,7.4,45,Bad
4,5.5,46,Bad
3,16.4,53,Bad
1,7.6,34,Bad
2,4.9,55,Bad
2,4.2,55,Bad
1,9,37,Bad
4,9.2,39,Bad
5,4.6,49,Bad
2,6.4,58,Bad
2,6,41,Bad
1,10.5,45,Bad
2,8.9,55,Bad
3,12.1,42,Bad
4,9.5,53,Bad
2,9.1,44,Bad
3,7.1,54,Bad
3,4.1,50,Bad
3,4.4,41,Bad
1,5.2,49,Bad
1,4.2,48,Bad
1,6.5,49,Bad
2,6.8,46,Bad
1,16.7,60,Good
5,11.8,33,Good
2,10.6,30,Good
3,6,59,Good
2,13.6,46,Good
0,8.5,49,Good
2,10.1,50,Good
0,14.1,50,Good
0,8.4,47,Good
2,9.2,60,Good
2,7.7,58,Good
2,10.7,39,Good
2,12.5,46,Good
2,9.1,56,Good
2,11.8,46,Good
1,11.9,42,Good
1,9.4,59,Good
1,10.7,40,Good
4,15.1,57,Good
3,15.9,60,Good
2,13.7,57,Good
3,12.6,51,Good
1,12.1,43,Good
2,11.3,40,Good
0,12.5,53,Good
2,11.3,40,Good
1,10.5,30,Good
2,9.8,30,Good
0,10.1,39,Good
4,4.8,60,Good
1,12.9,47,Good
2,13.1,57,Good
1,7.9,54,Good
1,6.5,51,Good
4,13.2,33,Good
2,6.5,38,Good
0,4.7,37,Good
0,8,46,Good
3,13.9,54,Good
0,11.4,58,Good
2,9.3,59,Good
1,16.3,34,Good
4,11.3,37,Good
4,7.9,45,Good
1,14,39,Good
1,28,56,Good
1,6.5,40,Good
1,9.8,41,Good
1,14.2,54,Good
1,10.7,59,Good
3,10,58,Good
0,12,39,Good
1,23,43,Good